student_utterance,previous_5_utterances,subsequent_5_utterances,filename,student_tag
I also don't understand.,"[T] No. We can understand enough, right?
[S] Oh. You understand?
[T] Is there anybody who does not understand?
[S] [Laughter]
[T] Oh. You don't understand?","[T] You don't understand? Then one more time then. With this side.
[T] This time please explain it, Ikeda. You're saying that it was a good explanation.
[T] Okay, then applause. Wonderful.
[T] Okay.
[S] [Laughter]",Math JP2 transcript.xlsx,3 - Asking for More Information
Ichiro is one second- in short... in short the difference in the amounts of money on that one day-,"[T] Then, well, can you say why you got a mathematical expression like this?
[S] Um. The one labeled X is that one day after they finished their prayers and-
[T] Yes.
[S] And on that day since the smaller brother's amount of money is bigg- oh was bigger than his big brother,
[S] well Ichiro's so in short, well, Ich- Ic- who had 180 yen. Huh?","[T] Yes.
[S] The fact is the smaller brother's amount of money is more than Ichiro's and-
[T] Yes.
[S] And the person who had 110 yen is the amount of money the smaller brother had in the beginning.
[S] So the smaller brother's is bigger, and Kazu- oh- Ichiro's is smaller.",Math JP3 transcript.xlsx,5 - Providing Evidence/Explaining Reasoning
What would happen if you have an answer that is 5XX,"[T] Someone else? What do you think? Tomas.
[S] Because they have an X on both sides.
[T] X on both sides, you see that Tobias?
[S] Yes.
[T] We're going to talk about these a little bit more next- not next week, probably tomorrow and the next day. Okay? Val.","[T] Wait, how did you get that?
[S] Would that be the same as 5X squared?
[T] Yes, I could see- or I'll look at your because it shouldn't happen for these problems.
[S] No, I was just wondering.
[T] It could happen, yes. It'd be 5X squared. We actually will talk about some of those things in two units from now.",TalkBack.Year1.Gautier.Spring.011420-1.xlsx,3 - Asking for More Information
It would take another light green to make a whole and that’s not  half.,"[T] What do you think?
[S] No.
[S] Nope.
[T] The black rod.
[S] Oh, the black rod.","[S] Yeah, it is, look.
[S] That is not as long as the black, it would take another light green  one.
[S] Oh.
[T] What do you think? David.
[S] No.",Fraction as Number 1_Grade 4.xlsx,5 - Providing Evidence/Explaining Reasoning
Like the zillionths and trillionth,"[S] Like what I'm saying if you looked at it under a microscope…
[S] Like the human eye…
[S] Yeah, like the human eye…
[S] and
[S] You can't see it like a dust particle.","[S] Yeah, you just have to magnify it.
[T] David.
[S] I think that you can't really see it to well, but if you use a microscope then you are seeing  closer and it looks like you are seeing more, but you're really not you're just looking closer  than before.
[S] Yeah, because there is more space even between that.
[T] Okay. I am interested in how some other people are thinking about it. I have not heard  some of the girls thinking about this. Laura, what do you think? You are listening to this  very carefully what is your opinion on this?",Video Mosaic Grade 4 Infinite Number Line 3.xlsx,2 - Relating to Another Student
200,"[T] Okay. What are your thoughts about five? Avery? She showed up. She snuck in.
[T] What's 5 x 5?
[S] 25
[T] What's 5 x 40?
[S] 200","[T] . 200 Do you think we need to go all the way to 200?
[S] No.
[T] No. Do you have a different proposal?
[S] Times by two and then add column one.
[T] We could multiply by two. Yes. Cole, what are you thinking?",TalkBack.Year1.Davies.Fall.120519.xlsx,2 - Relating to Another Student
Yes.,"[S] That's the second biggest.
[S] Second.
[T] Why is this one bigger than this one?
[S] Because there's one more piece left but pieces are bigger.
[T] Did you hear what Aila was saying? The pieces are bigger here, so yes, there's only one missing but we're missing one big piece here, we're missing one little piece. Can we all agree that 11/12 is the biggest fraction?","[S] We figured out our largest, could we figure out our smallest? Edith, you're shaking your head over there. You think you know what our smallest one is? What's our smallest one?
[S] 1/10.
[T] 1/10, why do you think 1/10? You can pick somebody out if you want.
[S] Gene.
[T] Anybody else agree that 1/10 is our smallest? I agree with you. Here we're having a very tiny piece, here we're eating all but a very tiny piece and I have three more in the middle. What do you think? Martin, what do you think?",TalkBack.Year1.Smith.Fall.120319.xlsx,2 - Relating to Another Student
Numerator.,"[T] Did you hear what she said?
[S] No.
[T] Her denominator is not changing. I don't want to add, I want to multiply five times my numerator, and if you think about this, go back to our addition problem we know, right sleepy one, that the eight represents how many pieces you can have. The one represents how many pieces we do have. We have five. So really, when we're looking at the addition, all we're doing is messing with our numerators, right Ilik?
[S] Yes.
[T] So, when we're multiplying all we should mess with is our?","[T] Our numerator. Any connection? It's like a Monday morning, it's like crickets in here. Yes? No? All right, let me give you one to play with. Are you ready? If I'm going to multiply 2/10 times 3, what would I get, using some of the thinking that people already shared with us? Who has an answer? Judith, help us out, what do you think?
[S] I think it's 6/10.
[T] Okay, why do you think it's 6/10?
[S] Because two times three is six.
[T] Two times three is?",TalkBack.Year1.Smith.Spring.030220.xlsx,4 - Making a Claim
What? Eight what?,"[T] So your saying, your taking.. So why did you pick thirty-four?
[S] Because um ten steps is thirty-four.
[T] So out of this hundred, you chose ten, right? You fix ten which has thirty-four, right? How would you do for four, how would you do for eight?
[S] For eight?
[T] Using the same idea.","[T] A ladder with eight steps.
[S] One, two, three, four, five, six, seven, eight.
[S] Ah, here I go. One, two, three, four, five, six, seven, eight, nine, ten, eleven, twelve, thirteen, fourteen, fifteen, sixteen, seventeen, eighteen, nineteen, twenty, twenty-one, twenty-two, twenty-three, twenty- four, twenty-five, twenty-six. Ahh?
[S] One, two, three, four, five, six, seven, eight. How the heck?
[S] Any questions?",Ladder problem 2_Grade 7.xlsx,3 - Asking for More Information
"Oh, yeah it's ten, yeah.","[S] Four? That's easy, that's...
[S] It's going to be twenty-four. It's going to be twenty-four! Twenty-four! Twenty-four!
[S] Eight! Eight!
[S] Ten. It's ten.
[S] Thank you. [nods to Ariel]","[S] Twenty-four.
[S] Cause, you're going to add six. Cause, for five you added um..
[S] But, how..but how are you going to go
[S] Wait, so it's minus another two...
[S] ...minus four, six",Video Mosaic Grade 7 Guess Rule 1.xlsx,2 - Relating to Another Student
"Hahahaha, what is that? That's twelve? [Christian changes the two under the triangle column to a twelve]","[S] Times two take away two. I mean, times
[S] No, it's times two.
[S] Times two times plus two.
[S] Ooooooo.
[S] Times two, times two. I said that when they had the ten.","[S] Why you switch it up, man? Oh, I know it anyways.
[S] What is it?
[S] Plus ten!
[S] Plus ten! [The answer is ‘plus ten' and Brandon goes up to the overhead. The video cuts to another clip.]
[T] I said this was going to be the last one and then we're going to  work in pairs on some other ‘Guess My Rule' problems. And  then we'll hand it out to you on paper, okay?",Video Mosaic Grade 7 Guess Rule 2.xlsx,3 - Asking for More Information
Money equals one.,"[S] Write an equation that represents the relationship M, money, and W for weeks.
[T] That's a good option.
[S] Explain information
[T] You can just write 12W instead of  12. Does that make sense? start at 144 and take away.
[S] I'm not erasing that. I just know that it's that.","[T] You're subtracting and then  What's happening every week?
[S] Every class he's like this.
[T] (0, 0)? Also think about your multipliers in the table. Zero times anything, does it equal four? 2 x 60, so it's always the numbers, right? I'll just show it to you.
[T] Let's put some M equal at the beginning of this. That's good. You can go grab your homework.
[S] I don't get the equation because I know it",TalkBack.Year1.Gautier.Fall.120319-2.xlsx,4 - Making a Claim
The negative numbers are lower than zero. Zero is said to be the lowest number and they are lower than the lowest,"[T] That's okay, Brian, we can hear you.
[S] Between the zero and the one would be a one half. Between the one and the two  would be one and one half. Between two and three would be two and one half. Between three and four would be three and one half and the same on the negative  side.
[T] Okay. How many agree with that? In another words you are saying that the one half you are  splitting that and then you know where to place those numbers. You were all telling me to place  the number one half on the zero. I got very confused. What are they thinking, Alan?
[S] They were thinking negative numbers are equal to positive numbers. That is  probably what they are thinking. Because, you cannot add negative numbers and  have them be positive numbers.
[S] Audra was thinking all that is 1 whole and its not.","[T] Okay. We have about 1 more comment and we will continue this when we come  back. Meredith?
[S] It is like a ruler, here it has the inches one half, one and one half, two and one  half, three and one half, four and one half, five and one half, and so on.
[T] It is starting to make some sense?
[S] Ohm-Hum
[T] Audra, I am so glad you placed one half there; it ended up in such a good  discussion. Are we going to leave it there or take that one half off?",Number line models 4_Grade 4.xlsx,5 - Providing Evidence/Explaining Reasoning
I agree.,"[T] Okay, cool. All you really missed was a cool picture of The Rock earlier, and you can Google pictures of The Rock later if you want to. Okay. So once again, Alison is buying cups and plates for her party. Cups are sold in packs of eight and plates are sold in packs of six. She wants to have the same number of plates and cups. Okay. So we want to find a number of plates and cups that meet her requirements. So we're going to start off and we want to know the gist of this problem. So what's the big idea of this problem? What do you think Adriana?
[S] I think .
[T] Yeah. We want to find the same number of plates and cups. We've got it. What is some important information in this problem that we should highlight? That's going to be really important. I want you guys to think to yourself, is this problem asking us for GCF or is it asking us for LCM? Think to yourself. Is this a GCM problem or a factors problem? Or is this an LCM or a multiples problem? Okay. Which one do you guys think?
[S] Brian? What do you think? Do you think this is a GCF problem or an LCM problem? LCM?
[T] He's making a very pensive face. I like that you're thinking so hard about this. Adriana, do you agree, disagree, or have a question for Brian?","[T] Why do you agree that this is an LCM problem?
[S] Because you want to find a common multiple of six and eight.
[T] What do you guys think around here? Does that sound doable? So I would be really careful to just look for specific keywords, but when the big idea of the problem is we want to see how many groups have something we need, like we want to have until they meet up. Then I would say that would be an LCM problem.
[S] Then what would be a GCF problem?
[T] When we would divide things up into groups.",TalkBack.Year2.Davies.Spring.012221.xlsx,2 - Relating to Another Student
"He said, he said bigger","[T] Yeah. So follow the directions. You plot, plot, connect the dot. plot, connect the dot. plot, connect the dots. If you follow the directions, you're not going to have questions about it. This is not what I asked you to do, you need to plot this here. So it tells you to go back there. So get a straight edge and connected those two. Okay, so you are plotting 8,1-5,1. Plot 5,1. Where's 5,1? You need to do the dance? Horizontal, vertical. Horizontal.. So you did this first. You did this one correctly. 5,1. So where's 5,1? goes horizontal first. Yep. Nope. Don't put this, I don't know why you're putting that line there. You're connecting this with this. The other lines don't, shouldn't exist. That's why you have a straight edge, use the straight edge. And you draw a straight line. There you go. And then after five one, you plot five, seven. Where's 5, 7? 5,7. 5,7.  five, first five along the horizontal, and then seven on the veritcal. Put your dot there. You really should erase all these other ones, because they're just going to be confusing. Okay, so now you connect those two 5,1 to 5,7 with a straight line, straight line. Okay, and then one, two horizontal, vertical. There ya go. Then connect it. 5, 7 to 1, 2 with a straight edge. so five one which you already plotted, Right? So connect it to that. Connect the last one to that. Got it? You good? Did you finish? I don't think you finished. These are the ones. don't pay attention to that up there. Okay. Are you done? Yeah. This is not accurate. That doesn't look right, does it? Alright, so after you have your original sailboat, give me a thumbs up if you have your original sailboat. Okay, this is what it should look like. Okay, so there's a little boat part of it, there's the sale part of it. There shouldn't be any weird lines going between any of the other things. This should be straight across, and it should have the two slanted lines there. So there's your original. From there, they tell you to make a new sailboat. Everybody look up here. On the new sailboat, they want you to double. So double means what? What does it mean to double something? Mariah? Yeah, it's times two or it's you add it up twice right, so it's time two. double each member of the original path. So pay really good attention, or you're going to have to do things twice. Read this. And make sure you can even check with your neighbor to make sure that you're doing this correctly. So it says double each number of the original pair. So if I double each number, that would be the eight times two would be 16. And one times two would be two, right? Then five times two would be 10. And one times two would be two. So I'm doubling each of these. So I come down here this is going to be one times two is two, and two times two is four. What about this one? Zero times two is what? what's zero times two? zero. So if you double zero, you still get zero, right? Stephanie if you double zero What do you get?
[S] Zero
[T] Yep. So this is still going to be zero. All right. So I'm leaving you to it. I want you to make the coordinates first with the new rule, and then plot them and then you get to keep going. This is what your lesson is for today. So after you have made all of the new coordinates, I'm going to ask you a question. Before you plot the new coordinates, I am going to ask you to make a conductor. A conductor is an educated guess everybody looked up here eyes on me. What do you think that second step is going to look like? You are doubling each of the coordinates. What do you think it's going to look like? Compared to the first one? What do you think? Bishop What do you think?
[S] I think it's going to be bigger.
[T] Greater? What do you mean, greater?","[T] bigger. Oh, sorry. Wow.
[S] I think it's going to be bigger because he had double both coordinates.
[T] Yeah
[S] So it's bigger across and taller.
[T] Okay. Awesome. Take off if you agree with him. All right. So touchdown, or, or sit down sit down. And go ahead and plot that one. So now you're going to plot that on your sailboat one. Does that look right to you? doesn't look right to me. tell your person, was it right? So you have this would be 0,1. 0,1 And then that connects to two zero. So here's 2,0. 5,1. So you didn't connect all your dots. You needed to make sure that this was connected to this. So okay, this isn't quite right. So so we have five, seven. Here's five, seven. The next one is one, two. so where's one two? here. Oh, you didn't connect anything to that. This should be connected to that. And not that. Okay, 8,1. You go over then up. So make a dot there. Nope. Don't make a line. Are you confused as well? Okay, you should just you just need straighter lines. But yeah, that was five one. Yep. connect those dots. five, seven. Yep. And then connect 5,1 to 5,7. and then one, two. the last one. And then five, one. And that's the last one to go. Oops, nope. That's not it. Since you  it's not going to be a straight, it's not going to be *inaudible* And then 0,1. zero and then up one. *inaudible* horizontal, vertical. Yup. *inaudible* That was the last dot. Yeah, well, you can look right here. And you just so then the next one, you're going to double. You already, okay so no you just need to plot those here. Alright, for those of you who are ready for it, on the third one, on the third ones for new sailboat two it says, The rule is to do what? Aden, can you read it really loudly?",TalkBack.Year2.Gibson.Spring.022621.xlsx,2 - Relating to Another Student
20 seconds.,"[T] We are going to talk a lot about this common denominator strategy today. Before we do, do you have any questions about the review of the problems that we did this morning? Royce?
[S] Can you answer ?
[T] I hope you have time to do that this afternoon.
[S] Oh.
[T] I know. I know you want to see it, but I will check it for you later, as well. All right, now friends, give me two seconds. One, 1,000, two, 1,000. It's going to be more than two seconds.","[T] No, I can do it in less than 20. I'm almost done.
[S] Five.
[S] Four.
[T] Okay, six seconds. That was pretty fast. We are going to add some notes to your note capture in six minutes. Don't get your note capture out yet. You don't need it out yet. I'm going to walk through some problems with you. These problems are already written down for you so have some really nice, neat, accurate examples to look at when you're studying. Okay?
[T] I want you guys to note that there is more than one way to divide fractions. Okay? The examples that we are going to focus on today are going to use diagrams, which is like a number line or a tape diagram that you have been working so hard on. Then we're also going to talk about the common denominator method. You already have some experience with this. We're just going to formalize this knowledge this afternoon.",TalkBack.Year2.Davies.Spring.031021-1.xlsx,1 - None
Why is the whole so big?,"[T] Yes, Briella?
[S] 
Would this happen most of the time whenever there's a left number, like little space equal to one-half?
[T] This one works out really nicely. It won't always work out. But , our first time that we're talking about a remainder. I think it's nice that it kind of works out really nicely.
[T] Math-hands, anything else you would like me to clarify before we go on? Okay, here's your next problem.
[T] So we're going to look at a couple of problems here. And this says, write a multiplication equation, and a division equation from each of the following questions. Draw a tape diagram to find the solution. Use the grid to help you draw, if needed. So let's do one more together. I'm going to zoom in a little bit here. And our first problem says... I hope I didn't zoom in too much here... how many three-fourths are in one whole?","[T] To make it big so I can zoom in and see it. So, how many three-fourths are in one whole? Okay. So let's write our division sentence. This would be one divided by three-fourths. But way back to what Adeline said, we know that our answer will be more than one because three-fourths is going to fit into one whole more than one time because it's smaller.
[T] I'll help you guys draw your diagram. I'm going to draw mine to look like this. Okay. I'm going to give it four little squares because I know I'm going to divide it into... one-fourth will be part of what I divide it up into. Okay. Perfect. So go ahead and write your division sentence. One divided by three-fourths.
[T] Okay. So we're going to look at this here. Let's circle one group of three-fourths here. So one, two, three. So here's one group, here. Okay. That's one group of three-fourths. This little part right here?
[S] Um, no. Yeah, yeah.
[T] 
Or the third one? I'm going to just circle here.. I'm trying to get it even more exact. Sometimes it's tricky to get it exact on my SMART Board. There we go. Is that better?",TalkBack.Year2.Davies.Spring.030521.xlsx,3 - Asking for More Information
Eight. Eight.,"[T] For the first one, you found that the solution is X equals two. What does it mean? X equals two.
[T] If I say that X equals two is the solution, what does it mean? What does it mean?
[T] It means, when X equals two, left-hand side will equal right-hand side. Let's check it.
[T] Okay, when X equals two, what is the left-hand side? It is two X plus four, okay? Two X plus four.
[T] Two, X, plus four, what's the result?","[T] Eight. All right? And for the right-hand side, it is X plus six. X, we found that X equals two.
[T] Therefore, it is eight again. Are they the same?
[T] Yes. Okay? X equals two, then left-hand side right- equals right-hand side. That is the solution for equation one.
[S] Yes.
[T] How about the others? Lau Wai Fung, give me one more number for X, other than two. Any one?",Math HK4 transcript.xlsx,2 - Relating to Another Student
"I said 3/4 is bigger, because the 7/8 isn't a one yet, like the after it. So it would have to be less.","[T] Yeah. Because...
[S] I think that because when we multiply by one, it's the same number. And it's a fraction, it's less than one. So it's going to be less than one  itself
[T] Exactly. Did y'all hear that? Yeah. So if you're multiplying a number by a half, you're going to have half as much as what you started with. Right? Because you're taking half of 3/4. Okay. It's really weird to think about multiplication and fractions. And to get our language around it, I think it's really important. So should be less than, because if you take half of 3/4, it's going to be less than that. And Liam solved it. So that we knew the answer to this is 3/8. And this is 3/4. When you're comparing two fractions that have the same numerator, if the denominators are different, the bigger the denominator, the smaller the pieces. So if you're thinking about that apple pie, you want 3/8 of that apple pie, or do you want 3/4 of the apple pie? If you love apple pie, like I do, you'd want 3/4 of it. You want the bigger pieces, right? Okay. All right.
[T] You don't have to solve it. You can solve it to make sure that you're correct, but you don't have to solve this to know whether 3/4 times 7/8 is greater than, less than, or equal to 3/4.
[T] I'm sorry. All right, show me. All right, do I have any brave so who want to explain why they answered the way they did? Tom?","[T] Bravo. That's absolutely right. You're only taking 7/8 of 3/4. You're not taking a whole 3/4. So it's going to be smaller. Awesome. Good thinking. And you checked your answer by...
[S] I multiplied 4 times 8 is 32. And then 3 times 7 is 21. So I got 21 out of 32.
[T] Mm-hmm . Okay. Nice job. All right. I'm spending so much time on this, because you're going to be writing some problems like this. Okay. Here's the little bit different one
[T] All right. Still confused by the way the sign... So Anna, what are you thinking? Which is bigger? This side or this side?
[S] The left side.",TalkBack.Year2.Gibson.041521.xlsx,5 - Providing Evidence/Explaining Reasoning
It just kicked me out the meeting so I had to rejoin.,"[T] Okay, so johannah if I wanted to show pizza each person was getting, what would my denominator of my fraction be? In this case, what the denominator be?
[S] your denominator would be a two
[T] would be a two because in each pizza in each whole, there's two pieces. And so then I'm Lucci, how many are they each getting in all?
[S] three,
[T] three. So, three over two or three halves. Because if I have one person and they are this reddish color, then they are eating this piece, This piece and this piece they are eating three halves. Same thing with other person they are also eating three halves so that each person can have the same amount of food. Okay, so then my question for you guys. Does one and one half, 12 eighths, and three halves mean the same amount of pizza? I wants you to turn on your cameras and I want you to either nod if you think it does, or shake your head if you think it does not. Does one and one half, 12 eighths and three halves name the same amount of pizza? I'm seeing a lot of heads nodding I'm seeing a couple questioning eyes nodding.","[T] That's all right. Evy My question for the group and why they're all nodding their heads are shaking their heads is i'm saying is one and one half, 12/8ths and three halves naming the same amount of pizza? Yes, it is. naming the same amount but in different ways is called equivalent fractions, okay, all equvalient fractions, even though they have different numbers, they equal the same amount of pizza. And you guys can show me that based on these pictures. one and one half, I'm actually using this same red color that I use down below for my three halves. And I'm going to color in what this person is going to get. So they're going to get this whole pizza, and then half of this one. Do you guys agree that if I were to take these two halves and put them together, they would equal one hole? Yeah, so what two halves together would equal something like that. And then one half. So then this one right here is I'm looking at Brenda's. I'm going to color it in, she got this whole piece, and she got half of this one. So if I share all of these fractions equal the same thing. Okay. Let's have another example. We're gonna talk about pizza again, we're gonna talk about pizza again. Today, you guys are gonna have the opportunity to reuse them further about equivalent fractions. And we're going to try to discuss different ways of equally sharing solutions. Okay, so here we go. Um, this time Let's have 6 people. And those six people are going to be sharing four pizza. That's a lot smaller than I meant it to be. So 6 people sharing four pizzas. I'm gonna give you guys a couple of seconds to draw in your notebook, how you might split these four pizzas amongst six people. Think about a family. The whole family's splitting four pizzas, how many pieces would they each get? All right, now that we've had a couple of seconds of think time in a couple seconds of drawing time, who has an idea of how I might Um, draw on my pizzas, to come up with how I might split it amongst 6 people? I wait until I see some more hands. Or I might just call on a stick? Alright, Asher, I haven't talked to you a whole lot today. Asher helped me out here. How could I split these pizzas up for six people?
[S] How many pizzas are there?
[T] There's four pizzas. See them on my board?
[S] yes, now I do. Can you pre split them into fourths for me?
[T] Absolutely I can.",TalkBack.Year2.Cornish.Spring.020521.xlsx,1 - None
Why do you have 2 x the ?,"[S] No.
[T] What do I do ?
[S] You need to add
[S] 2 times
[T] What?","[T] Oh. . 16 + 5
[S] 21
[T] Is that my answer?
[S] Yes.
[T] Agree? ?",TalkBack.Year2.Koski.Spring.031721-2.xlsx,3 - Asking for More Information
48,"[S] Six times a is
[T] Anybody what is six times 8?
[S] 42?
[T] Well, that's really close.
[S] 46","[T] 48
[S] 52
[T] Oh my goodness, that makes me really nervous that we don't know our multiplication facts. My friends, this is going to be a lot harder. If we don't our multiplication facts.
[S] And you have to make them, count your zeros.
[T] good. Exactly. Now in 600 times eight. I know my six times a equals 48. And I have two zeros in my question. So I have to move them to my answer. Now what about 20 times 8?",TalkBack.Year2.Cornish.Fall.111920-2.xlsx,2 - Relating to Another Student
"And here it continues, six, seven, eight, nine, ten, eleven, twelve, and  here it will continue fifteen plus two seventeen, plus two is nineteen,  plus two is twenty-one, plus two is twenty-three, plus two is twenty-five,  plus two is twenty-seven, plus two is twenty-nine.","[T] Hmm, hmm.
[S] Then for the two it would be plus seven is nine.
[T] Hmm, hmm.
[S] Three plus eight is eleven, four plus nine is thirteen, and five plus ten is  fifteen. And the pattern I also see is that it keeps on adding two, we have  five plus two is seven, seven plus two is nine, plus two is eleven, plus  two is thirteen, plus two is fifteen [looks at T1]
[T] OK, then what is this here? [pointing to what he has written on the right  side of the table]","[T] OK. And how you figure out this rule?
[S] This one? [has Guess My Rule Problem 3] It's easy. This is times … Oh,  man, I forgot. Oh, yeah, times three plus one [writes on the side of the  table ×3 + 1]
[S] Times three plus one. Done. Because 0 times 3 plus 1 equals 1. And 1  times 3 is 3 plus 1 is 4. 2 times 3 is 6 plus 1 is 7. And 3 times 3 is 9 plus  1 is 10. [Ariel writes as he talks. He has written ×3 + 1 in between the first three  pairs of values in the table.]
[T] What will you get for four?
[S] Huh?",Video Mosaic Grade 7 Guess Rule 4.xlsx,5 - Providing Evidence/Explaining Reasoning
Three.,"[T] So how many times did I count by two?
[S] Oh, three.
[T] Three. So my numerator is three, River. What about my denominator?
[S] 
Hmm. Six, I think. Six.
[T] Because two, four, six, eight, 10, 12. There you go. So River found us one equivalent fraction for six 12ths. It's three sixths. All right. Okay. Just in case, now say T says, ""Find two equivalent fractions for six 12ths."" What other factor could I use? I've used two, so I can't use that one anymore. What other factor could I use, Alicia?","[T] Okay, Alicia, tell me how I would use three.
[S] So you would divide them by three, and on the denominator for that is two on the, I mean, the numerator.
[T] 
Ah, the numerator is two, why is the numerator two.
[S] Because you can fit three two times into six.
[T] Because six divided by three is two. Good. And what about the denominator?",TalkBack.Year2.Cornish.Spring.030121-1.xlsx,4 - Making a Claim
