previous_context,student_utterance,turn,subsequent_context,Offering Math Help,Successful Uptake
"(107) [T] Zoe, what did you write?
(108) [S] Mine is the algorithm for multiplying fractions as numerator times numerator equals numerator, and denominator times denominator.
(109) [T] Awesome, Laura?
(110) [S] The first step is to multiply the two numerators by each other, and then do the same for the dominator.
(111) [T] Okay, I'm going to push you.
(111) [T] You totally know what that means and I know what that means, but I would still say, ""And then multiply the denominators,"" instead of doing the same for the denominators.
(111) [T] But you don't have to change it but that's-- Ava?",First you multiply the two numerators and the two denominators and into products to make them a fraction.,112,"(113) [T] Read that again.
(114) [S] First you multiply the two numerators and then the two denominators, and then you use the products to make them into a fraction.
(115) [T] Okay, I'm going to tell you that that's perfect for what we're doing right now.
(115) [T] You  -we're having to multiply three.
(115) [T] So instead of saying, ""The two numerators and the two denominators,"" it could end up being that there's three, you know what I'm saying?
(115) [T] Just thinking forward.
(115) [T] So what I need from you right now, independently, my goal is that you solve problems-- We're going to finish the page.",1,0
"(274) [T] So then, the area would be length times width, which is 1 times 1, equals everybody?
(275) [S] 1
(276) [T] Then it asked me, what are the dimensions of the shaded rectangle.
(277) [T] Well, this is a third, this is two thirds, one third.
(277) [T] Two thirds.
(277) [T] Okay?
(277) [T] So, Haley jumped up and said, ""Oh well, the dimensions of the shaded are its two thirds here and two thirds here,"" do you understand why you couldn't write one third, one third, one third, one third?",Yeah.,278,"(279) [T] Because then-
(280) [S] It would be one-third by one-third.
(281) [T] It would be one-third by one-third.
(281) [T] And one-third by one-third is only-
(282) [S] One third.
(283) [T] -this.
(283) [T] Okay?",0,1
"(244) [S] It's seven.
(245) [S] It'd be 84, right?
(246) [S] It's eight.
(247) [S] Oh, 195.
(248) [T] Nine would be 198, or 99.
(249) [S] It's eight.
(250) [T] So it only goes into it eight times.",168,251,"(252) [T] Okay?
(253) [S] It's 168.
(254) [T] 8, 15 is  Is seven.
(254) [T] Eight is two.
(254) [T] 58.27 inches is the average of our fifth graders.
(254) [T] Our orangutan was how tall?
(255) [S] 58",0,1
"(nan) [S] Two, four, six, eight, ten.
(41) [S] The orange rod is ten.
(42) [S] Okay, ten.
(42) [S] So that’s ten, this must be nine.
(42) [S] And this divided into thirds must be…
(43) [S] It takes green.
(44) [S] Light green.",It takes green to divided the orange into thirds.,45.0,"(46) [S] Blue.
(47) [S] No, we are doing this one.
(47) [S] I’m doing this one, the one I made up.
(48) [S] [Simultaneously] I’m doing this one.
(48) [S] Yeah.
(49) [T] Okay.
(49) [T] I'm ready to hear some questions because you can maybe  keep thinking of more.",1,1
"(59) [T] I will tell you how I would start this lesson and then it's up to you from there.
(59) [T] I would start this lesson by talking about what does our denominator tell us in this problem.
(60) [S] Our denominator tells us--
(61) [T] No, no, no, no.
(61) [T] I don't ever tell people, I ask people.
(61) [T] This pen is going to be a huge issue.
(61) [T] Let's do this, you talk, I'll write.",What does the denominator mean in this problem?,62,"(63) [S] What?
(64) [S] Pete?
(65) [S] Denominator is the main problem
(66) [S] What?
(67) [S] Andre.
(68) [S] A denominator
(69) [T] In this problem?",0,0
"(1589) [S] Then, well, that's, that's because this would be gaining an X and going into the X plus one.
(1590) [S] Yeah.
(1591) [S] And this would be losing an X.
(1592) [S] No, no, not losing, not getting anything.
(1593) [S] Staying the same.
(1594) [S] No.
(1595) [S] It's not getting anything.",That would be staying the same and that's.,1596.0,"(1597) [S] That's, yeah, the plus that.
(1598) [S] -is the X plus one.
(1599) [S] And the top numbers have changed because you have more.
(1600) [S] Because you're adding more things.
(1601) [S] One more.
(1602) [S] One more.
(1603) [S] Topping or-",1,1
"(488) [T] No, okay.
(488) [T] Oh, okay.
(489) [S] That's just the nature of the assignment.
(490) [T] Is this one clear to you guys?
(491) [S] Yeah, sure.
(492) [T] Really?
(493) [S] Yes with the explanation earlier it made it, in any case, clearer.","But in the beginning it seemed a bit weird, but now I understand it.",494,"(495) [T] Yes, very good.
(495) [T] So it is very important that it is written down properly here.
(495) [T] Yes?
(496) [T] I mean you copied it here very nicely but try to retain some of that for yourself too.
(497) [T] Technically this doesn't get explained until here.
(497) [T] So if afterwards you try to calculate the numbers, make sure you use it.
(498) [T] So don't try to be stubborn or anything like that.",0,1
"(284) [T] Negative 30 cubed was fine but you object to negative 20 squared.
(284) [T] Do you know, Ondra?
(284) [T] Please tell us.
(285) [S] There is an even number... it's an even exponent.
(286) [T] The negative main number has an even exponent.
(286) [T] That's not the same thing, is it!
(286) [T] Iveta.",Because a positive number will come out of this.,287,"(288) [T] Because in this case we get a positive number.
(288) [T] Negative 20 squared does not come out to a negative answer but a... Kuba!
(289) [S] Positive number.
(290) [T] Positive number, so these two numbers can't be crossed out.
(290) [T] What else can we cross out... which other pairs equal zero, Vojta?
(291) [S] Negative 10 to the first power.
(292) [T] Yes and...",1,1
"(5) [T] Let's solve it together.
(5) [T] 7/8 times 3/1.
(5) [T] What's 7 times 3?
(6) [S] 21
(7) [T] Over?
(8) [S] 8
(9) [T] How many times does 8 go into 21?",2,10,"(11) [T] 21 minus 16?
(12) [S] 5
(13) [S] 7
(14) [T] 
Okay, 7 times 2.
(15) [S] Wait, Ms. Koski, where did you get the 16 from?
(16) [T] Where did I get 16 from?
(16) [T] Malcome, call on someone please?",0,0
"(16) [S] No.
(16) [S] (inaudible)
(17) [T] Number two is an exponent?
(18) [S] No.
(18) [S] (inaudible)
(19) [T] Jana, come up here and write it up on the left side of the board.
(19) [T] Here is a piece of chalk.",(inaudible),20,"(21) [T] Yes, good.
(21) [T] What Jana wrote up there is the second power.
(22) [T] So, number five is the foundation of a power and the number two is, you've already mentioned it here?
(23) [S] Exponent.
(24) [T] Exponent, or we may use a foreign word exponent, that's correct as well.
(24) [T] Fine.
(25) [T] May we use, or can you give us an example of one other than the second power?",0,0
"(11) [T] What else could we add to this fraction?
(11) [T] We want to keep covering.
(11) [T] What else could we add?
(11) [T] You want to take one of these?
(11) [T] Two of them or one of them?
(12) [S] Two.
(13) [T] Did we make a whole circle?",Yes.,14,"(15) [T] Okay.
(15) [T] Let's look at what we put in here.
(15) [T] We have one half, right?
(16) [S] Yes.
(17) [T] We have one fourth and one fourth.
(17) [T] Following me?
(18) [S] Yes.",0,0
"(185) [T] You're not using number sense to answer the question.
(185) [T] You know that 7x3 is 35 and how many zeros do I have.
(185) [T] I don't need to write this out.
(185) [T] I just need to know to add the zeros.
(186) [T] Anna, are you done?
(186) [T] Everyone else should be done too.
(187) [T] Are you rounding the numbers?",I think it should be 1000.,188,"(189) [T] 36, is that closer to 30 or 40?
(190) [S] I can divide it by 20--
(191) [T] No.
(192) [T] Times 300.
(192) [T] What's 4x3?
(192) [T] How many zeros do I have?
(192) [T] There you go.",0,0
"(183) [T] Okay, Mr. Parker.
(183) [T] It's important that a Mr. Parker makes sure they're asking the right question.
(183) [T] The question you just asked was what fraction?
(183) [T] And the fraction is 38/5 already on the board.
(183) [T] What questions should you be asking?
(183) [T] What questions should our Mr. Parker be asking the class right now?
(183) [T] Angela.",I forgot what I was going to say.,184,"(185) [S] What's the mixed number.
(185) [S] What's the mixed number?
(186) [S] 7 3/5.
(187) [S] The question should be asking for the fraction
(188) [S] How did we get that?
(189) [S] How did we get the 3/5?
(189) [S] Antonio.",0,0
"(nan) [S] True.
(nan) [S] Six plus two plus zero.
(nan) [T] Let’s make one that is legal and a false statement.
(nan) [S] I know. 
(nan) [S] I know. 
(nan) [S] Okay, eight, eight, two. 
(nan) [S] Eight, eight, two. ","Yeah, eight, eight, two.",,"(nan) [S] How about two, two, seven?
(nan) [T] Eight, eight and two.
(nan) [T]  Is that legal?
(nan) [S] Yeah, that’s legal.
(nan) [T] Yeah because you put the same number in both boxes.
(nan) [S] Yeah but it’s legal.
(nan) [S] But it’s cheap.",0,1
"(321) [T] Over here it was how much?
(322) [S] This one was bigger by three eighteenths
(323) [T] And this one?
(324) [S] Was bigger by… how much?
(325) [S] Two twelfths.
(325) [S] One two three four five six seven eight nine  ten eleven twelve.
(326) [T] And your original one was",It was bigger by one sixth.,327,"(328) [T] Oh, so what do you think?
(329) [S] I think they’re all different, but then all the same.
(329) [S] Cause  they’re the same because the thirds are always bigger than  the half
(330) [T] The two thirds are always bigger than the half?
(331) [S] And, um, and they’re different because these are all, the  whites
(332) [S] they’re different sizes
(333) [S] They’re all different, like one, two, uh three, they’re  different.",0,1
"(70) [T] So all the way down there.
(70) [T] Lionel when you were just talking about that You said 90 and nine.
(70) [T] So you've changed that.
(70) [T] So you look at the nine tenths and the nine tenths is really how many hundreds?
(71) [S] 90 hundredths
(72) [T] Oh, and so when you think about 90 hundreds is like 90 pennies, right?
(72) [T] Compared to nine hundreds is how many pennies?",9 hundredths is like nine pennies.,73,"(74) [T] Yeah.
(74) [T] So now the hardest part is thinking about how do you explain that?
(74) [T] says, Do you agree with Austin's answer?
(74) [T] We all said what?
(75) [S] No.
(76) [T] And usually when you get a problem like this, they don't want you to say yes.
(76) [T] Because then there's no work involved.",1,0
"(139) [T] Can I fit six into one?
(140) [S] No.
(141) [T] No, so I'm good to keep going.
(141) [T] What's fourth?
(142) [S] You bring down.
(143) [T] Now?
(143) [T] Again.","Divide, then you'll dive 6 ÷ 6.",144,"(145) [T] What do I have now?
(146) [S] 6 ÷ 12.
(147) [T] Long division is just like partial quotients in this, where after I subtract, I start over with this new number that I created.
(147) [T] We can use our partial quotients knowledge to continue with long division.
(147) [T] Are you still recording?
(147) [T] I don't know, who knows, we're going to keep going though.
(147) [T] All right, Albany, what am dividing?",1,1
"(44) [T] Katelyn or Laurel?
(45) [S] Well we noticed that there were two halves in one container where it said half, but besides that we also saw the two glasses of water and we saw the red lines going through them, so we knew there was 1/2 there.
(46) [T] 
On Friday, we were doing fractions divided by whole numbers.
(46) [T] Today we are doing whole numbers divided by fractions.
(46) [T] What's the difference?
(46) [T] So today we were doing two divided by a half where we're getting four.
(46) [T] What would be the difference if we did a half divided by two divided?","
A half divided by two would mean how many twos are in the half, right?",47,"(48) [T] But there is none.
(49) [S] So that doesn't make sense.
(50) [T] I think Laurel might be able to help.
(51) [S] When you divide 1/2 by 2 you're splitting it, you're dividing your 1 into two separate individual spaces.
(52) [T] 
Yeah.
(52) [T] So that would mean if, Malcome or the class, if I said, okay, Karla and Hunter, here's a half a glass of water.
(52) [T] You guys have to split that half a glass of water.",0,0
"(16) [T] Explain how you would use a number line.
(17) [S] If you have two people  it will be two parts and you're sharing three cookies, you'll have to split each section into three parts and show many cookies each person gets.
(18) [T] Thank you.
(18) [T] Nice job explaining that.
(18) [T] Anyone want to add?
(18) [T] Okay, so we're basically doing the same thing we did yesterday, we're just making sure we're using visuals.
(18) [T] Yes, sir?","I need a new whiteboard, please.",19,"(20) [T] Okay.
(20) [T] Missy, will you get him one, please.
(20) [T] Thank you.
(20) [T] All right, and let me see.
(20) [T] In the end, you are going to need to tell me what is the difference between dividing 5 by 1/4 and dividing 1/4 by 5.
(20) [T] I want you to just think about that right now.
(20) [T] One would be written this way.",0,0
"(616) [T] Yes, I know.
(617) [T] Meanwhile, how far did you get?
(617) [T] You made exercise one, 15 and 20 in the meantime.
(618) [S] No, I am, I am already beyond that.
(619) [T] You are beyond that?
(619) [T] You've even gotten as far as 36 by now?
(620) [S] I will at some point.",Let me see.,621,"(622) [T] Just put it away for the time being.
(622) [T] Really people, put your French away for now.
(622) [T] I mean now.
(623) [T] Um, let me see.
(623) [T] Steffi?
(623) [T] Why don't you just get to work.
(624) [T] Laurie, just get to work.",0,0
"(151) [T] That is just 38.
(151) [T] And 11 times 10 is 110.
(152) [S] Oh, like that.
(153) [T] Beware, that's simply 110, right?
(153) [T] For P you just fill in 10, not 11 P times 10.
(154) [S] Oh.
(155) [T] Yes?",Yes.,156,"(157) [T] You have to fill in something at this spot.
(158) [S] Yes.
(159) [T] That is what it is about.
(160) [S] (inaudible) make over again.
(161) [T] Which one?
(162) [S] Do I have to make some calculations- or, uh, resolve this I mean?
(162) [S] Or do I just have to (inaudible).",0,0
"(24) [S] .
(25) [S] I'm not done, yet.
(26) [S] I'm not done.
(27) [S] Cover you.
(28) [T] Friends, if you know how to do this, you should be done.
(29) [S] Yes.
(30) [T] Okay?",I'm not,31,"(32) [T] All right.
(32) [T] Think about what our learning objective was.
(32) [T] It's the multiplication rule.
(32) [T] Multiplication rule.
(32) [T] Kurt, what's the first one you did to find an equivalent fraction?
(33) [S] I cancelled the 2.
(34) [T] 3 times 2, and 7 times 2.",0,0
"(1585) [S] Plus.
(1586) [S] -N choose X plus one.
(1587) [S] Equals that.
(1588) [S] Plus one, equals that right there.
(1589) [S] Then, well, that's, that's because this would be gaining an X and going into the X plus one.
(1590) [S] Yeah.
(1591) [S] And this would be losing an X.","No, no, not losing, not getting anything.",1592.0,"(1593) [S] Staying the same.
(1594) [S] No.
(1595) [S] It's not getting anything.
(1596) [S] That would be staying the same and that's.
(1597) [S] That's, yeah, the plus that.
(1598) [S] -is the X plus one.
(1599) [S] And the top numbers have changed because you have more.",1,1
"(nan) [S] I only know one.
(nan) [S] We got it together.
(nan) [T] Who is about to say the secret?
(nan) [S] I will.
(nan) [S] Me.
(nan) [S] Me.
(nan) [S] Me.","No, let me say it because I came up with it last.",,"(nan) [S] Let Ankur, Ankur, Ankur is the main man. 
(nan) [S] But I’m the one who told him that there is only one secret.
(nan) [S] No and I’m the one that told you there was only one secret. 
(nan) [S] The two answers that there are if you add together they equal the first number on the left and if you multiply them, they equal the number on the right.
(nan) [S] Is that why we were doing in the beginning with the illegal and legal moves?
(nan) [T] That’s why this is an interesting discovery.
(nan) [T] It’s not what we were- ",0,1
"(11) [T] I would like to hear some proposals from you all.
(11) [T] We know that 18, we have 18 and something.
(11) [T] , what do you think?
(12) [S] I think it would be 18 and 1/2 because it was 3/4, and now there's only two of them, so it would be 2/4, and 2/4 is equal to 1/2.
(13) [T] Okay.
(13) [T] Awesome.
(13) [T] , what do you think?",I have a feeling it's the exact same thing.,14,"(15) [T] Okay.
(15) [T] Are there any other proposals for what you think our remainder might be?
(15) [T] You are right, Sterling, that there is half left over.
(15) [T] You're absolutely right about that.
(15) [T] Yeah, Chance?
(16) [S] I was thinking maybe it would be 2/3.
(17) [T] Because?",0,1
"(54) [S] The incline.
(55) [T] What about the incline?
(56) [S] They're both 10.
(57) [T] They're both 10.
(57) [T] Now, from what I know about treadmills, I think that that's a pretty steep incline.
(57) [T] Yes, ?
(58) [S] I noticed that the numbers by the two hearts, they're different.",One of them is eight and one of them is 10.,58,"(59) [T] One of them is eight and one of them is 10.
(59) [T] I wonder what that means.
(60) [S] 810, and that is P2.
(61) [T] Yeah.
(61) [T] I wonder what that is.
(61) [T] I'm not totally sure.
(61) [T] What are you thinking, ?",0,1
"(209) [T] All right, good paper, now it's back where it's supposed to be.
(209) [T] So what answer did you get, Mr. Francis?
(210) [S] I got 450.
(211) [T] 450
(211) [T] Thumbs up if you agree with Mr. Francis, thumbs down if you do not.
(211) [T] That's a lot of thumbs downers.
(211) [T] Ricky, you agree with him?","Wait, no.",212,"(213) [T] Wait, no.
(213) [T] It's that easy huh, do you agree with him sure, oh wait no.
(213) [T] All right, so Mr. Francis why do you think it's 450 when Ezra says its only 400?
(214) [S] I kept counting up by five .
(215) [T] 80 times?
(216) [S] Mm-hmm .
(217) [T] That'd take you forever.",0,1
"(nan) [S] This one’s ten plus ten that’s twenty.
(nan) [S] I didn’t figure it out, but it has something to do with the prime numbers,
but...
(nan) [T] OK, whoever’s going to talk needs the mike, who’s talking?
(nan) [S] We’re both talking.
(nan) [T] You’re both talking.
(nan) [S] He's listening
(nan) [T] You’ve got to hold the mike.","See, um, this is how we did it like, like you talk.",,"(nan) [S] Whatever the first number is equals the second number.
(nan) [S] Whatever number in the box is here
(nan) [S] So we put two in the second one and always one goes here so if this is three, three goes here and plus one.
(nan) [S] See, and if it works here, three times three would be nine and then the one there would be ten.
(nan) [S] So if it’s four.
(nan) [T] But, you haven’t quite really found the formula, really.
(nan) [S] So if it’s four, we get four and four that equals eight, sixteen and then plus one.",1,0
"(194) [S] Just about.
(195) [T] But it doesn't.
(196) [S] well...
(197) [T] Right?
(197) [T] See what happens?
(198) [S] But then, then the one, then the, the uh, um, I don't know
(199) [S] Then the reds couldn't be twelfths.","Yeah, then the reds couldn't be twelfths and the whites  couldn't be twenty-fourths.",200,"(201) [S] Right, it would either take one [inaudible]
(202) [T] Andrew, what do you think?
(202) [T] Andrew and Jessica, what do  you think?
(203) [S] [Refers to twenty-four cm model on desk] Well, I made a  model that had the white was one forty-eighth and the  purples were twelfths and the white was, I mean the red was  twenty-fourths and I took two browns as the thirds and two  dark greens as the fourths and they I called them the fourths  and then the whole was four oranges and two purples.
(204) [T] Now, you're telling me that you used browns, two browns  to be
(205) [S] One, like one, one third.
(206) [S] Yeah.",0,1
"(26) [T] On this line, that's how much space the square takes up.
(26) [T] If the whole thing is 17, do you know how much this space is?
(27) [S] Five.
(28) [T] It's five.
(29) [T] What do you think?
(30) [T] If the whole thing is 17 and this much is five, what's left over?
(31) [T] If this is 17 and we're going to take away five, what's leftover?",Hold on.,31,"(31) [S] both?
(32) [T] What's 17 - 5?
(33) [S] 17 - 5?
(33) [S] 12
(34) [T] 12
(34) [T] I cannot get this off.
(34) [T] If the rest is 12, and there's how many sections.",0,0
"(135) [T] Put a 3 and 2/6.
(136) [S] Do you need some help, Grant?
(137) [S] Yes.
(138) [T] Because 1 x 2 is?
(138) [T] 1 x 2 is?
(139) [S] 1 x 2 is
(140) [T] Yes, then 3 x 2 is?",Can I go to the restroom  down there?,141,"(142) [T] Yes.
(142) [T] Keep going.
(142) [T] You've got it.
(142) [T] Hey, friends, I see you don't have a picture.
(143) [S] By taking away 1 whole from 10 and adding that on
(144) [T] Classity class?
(145) [S] Yessity yes?",0,0
