previous_context,student_utterance,turn,subsequent_context,Offering Math Help,Successful Uptake
"(109) [T] All right, go ahead, Becca.
(110) [S] For number one I thought it was about 1/2.
(110) [S] When I solved the problem I did 5 x 4 and since  and then did 2 x 4, so the denominator's 20.
(110) [S] Then 2 x 4 is 8, and then 1 x 5 is 5.
(110) [S] Then I did 8 + 5  8 + 5.
(111) [T] I'm going to ask a question before you go any further.
(111) [T] Are you estimating or solving?",Estimating.,112,"(113) [T] Because you're walking through the steps of solving by changing the denominators.
(113) [T] What would be an easy way to make a quick estimate?
(113) [T] Looking at 2/5 and 1/4.
(113) [T] 2/5 and 1/4.
(113) [T] Becca, I'm going to ask you to phone a friend that's got their hand up in the air.
(114) [S] Tyler.
(115) [S] Ms. Strathom, which problem?",0,0
"(140) [T] And when we look at our arrays, each row or each column is a group.
(140) [T] How is multiplication related to addition?
(141) [S] You can solve multiplication by using division.
(142) [T] Not division.
(143) [S] No, I mean you can solve multiplication using addition.
(144) [T] Addition, yeah.
(144) [T] It's just repeated addition, right?",Yeah.,145,"(146) [T] It's like us adding a group plus a group plus a group plus a group, right?
(147) [S] Yeah.
(148) [T] So addition can be thought of, I'm sorry, multiplication can be thought of as repeated addition.
(148) [T] And since you started school, we've been talking about counting.
(148) [T] We did counting where you guys used the strategy of counting by fives, right?
(148) [T] Five, 10, 15, 20.
(149) [T] Is there something else we're really good at counting by?",0,0
"(6) [T] You have to explain your thinking because I see some friends who are confused, so I need someone who knows their benchmark fractions and can explain their thinking well.
(6) [T] So, who thinks they can explain their thinking well for which benchmark franction it is?
(6) [T] Chase.
(7) [S] I think that it would be one, the reason I think this is because three-fifths is already at the halfway point and if you add any more, even just one-fourth, it gets closer to a whole.
(8) [T] Agree?
(9) [T] Okay, number two.
(9) [T] We have seven-eights, which is already close to what?",One whole.,10,"(11) [T] Show me on your fingers.
(11) [T] Seven-eights is already really close to what?
(11) [T] And we are subtracting five-sixths, which is also really close to what?
(11) [T] Show me on your fingers.
(11) [T] So we're subtracting a fraction that's really close to one, from a fraction that is also really close to one, what benchmark fraction do we think that is close to?
(11) [T] Kate.
(12) [S] Zero.",0,0
"(158) [T] Nineteen.
(158) [T] Nineteen.
(158) [T] Okay, I?
(158) [T] What is the answer?
(158) [T] Wong Wai Yan.
(159) [T] Chan Wai Yan.
(160) [S] [Laughter]",Negative (inaudible).,161,"(162) [T] Huh?
(163) [S] Negative 11.
(164) [T] Negative 11.
(164) [T] Okay, your last one.
(164) [T] What is the answer?
(165) [T] So Chi Yan.
(166) [S] Why are you thinking about it for so long?",0,0
"(161) [T] John, why are you saying no?
(162) [S] Because he didn't use area.
(163) [S] I said how much area of fencing does he have in total.
(164) [S] Hey Matt, can you read the question-
(165) [T] Read the question again Matt.
(166) [S] Jimmy Jonathon feet of fencing one way and eight feet the other way, how much area of fencing does he have in total?
(167) [T] Go ahead.","You should've said, instead of one way and another way, you should've said width and length.",168,"(169) [T] Length and width, okay.
(169) [T] Agreed?
(170) [S] Yes.
(171) [T] So, think about vocabulary when you're writing this.
(171) [T] Okay.
(171) [T] All right, great job though.
(171) [T] Go ahead, you're up.",1,1
"(52) [T] I'll show you something different, I don't know why it won't let us add a six.
(53) [S] Three?
(54) [S] 10?
(55) [T] Are these tests?
(56) [S] Yes.
(57) [S] We need a whole.
(58) [T] What fraction were those pieces?",One threes.,59,"(60) [T] If you're drawing is not perfect, that is totally okay.
(60) [T] That is not the part that I'm worried about.
(60) [T] Let me ask you, is this statement true, four eighths plus five tenths equals one whole?
(61) [S] Yes.
(62) [T] Do you agree with that?
(63) [S] Yes.
(64) [T] Does my picture prove it?",0,0
"(117) [T] Is that allowed?
(117) [T] Andrew?
(118) [S] It has to be two and one half.
(119) [T] You could put two and one half here, I could take this and split it in one half but I  would not put one half here, I would put two and one half.
(119) [S] Agree?
(120) [T] You could be a one half between every number….like  
(121) [T] That's okay, Brian, we can hear you.",Between the zero and the one would be a one half.,122,"(122) [S] Between the one and the two  would be one and one half.
(122) [S] Between two and three would be two and one half.
(122) [S] Between three and four would be three and one half and the same on the negative  side.
(123) [T] Okay.
(123) [T] How many agree with that?
(123) [T] In another words you are saying that the one half you are  splitting that and then you know where to place those numbers.
(123) [T] You were all telling me to place  the number one half on the zero.",1,1
"(730) [S] Nine plus seven is 16.
(730) [S] Sixteen divided by two is eight and eight times three is 24.
(731) [S] Finally.
(732) [T] Quickly.
(732) [T] Quickly.
(733) [S] Run.
(733) [S] Run.",Hurry up (inaudible).,734,"(735) [S] No, they're winning.
(736) [S] Hey, Alex.
(737) [S] I refuse to lose.
(738) [S] Well, Jen added one.
(739) [S] It'll be a great win.
(740) [S] Tell Aubrey.
(741) [S] Three, seven, five, nine.",0,1
"(40) [T] You are the future scientists and mathematicians  and problem solvers so I want you to think about these things, okay?
(40) [T] And think about  them over a long period of time and every now and then we will come back and talk about  them if you like.
(40) [T] Okay?
(40) [T] But, let's keep that idea that I want us, just for now, to focus on  the interval between zero and one and I want to be able to place fractions, as many  fractions as you can imagine, and then lets use even talk about some that you can't fit  here because it gets hard to squeeze them in, but that you could imagine.
(40) [T] You know  when we talk about this little piece of a line, that we have drawn here, it is supposed to be  made up of lots and lots and lots and lots of infinitely many tiny little points and I can't put  them all in so I just draw this line.
(40) [T] What do you think Alan?
(41) [S] Well, as I was saying before about the zillionths, you could have a line the size of a dust  particle and you could put that on there a zillion times.",You would have zillionths.,41.0,"(42) [S] If you had a pin that was smaller than a dust particle, then …
(43) [S] Something that is smaller than a dust particle … a dust bug … a hundred dust bug can fit  into a dust particle …
(44) [S] I wasn't talking about insects.
(45) [T] Andrew?
(46) [S] Well, if you made a number line and you took a magnifying glass or a microscope, and put  your number line under it, you would see that you have a lot of room left to put the one- hundredth, one-thousandth and the one-millionth.
(48) [T] Did you all hear what Andrew said?
(49) [S] Yes.",0,0
"(nan) [S] Seven.
(nan) [S] Give me your pen.
(nan) [S] Wait. 
(nan) [S] Wait. 
(nan) [S] Wait. 
(nan) [S] Wait. 
(nan) [S] Uh, twelve, twelve, fourteen, fourteen and six.",Twelve and eight.,,"(nan) [S] Twelve and eight.
(nan) [S] I win, I win, I win.
(nan) [T] You win. 
(nan) [T] I lose. 
(nan) [T] He did it.
(nan) [S] I beat you. 
(nan) [S] I got it before you Ankur.",0,0
"(284) [S] One thousand four hundred yen.
(285) [T] One thousand four hundred yen.
(285) [T] Okay.
(286) [T] How much is it... if you add it?
(287) [S] Two thousand and seventy yen.
(288) [T] Two thousand-
(289) [S] Oh.",Two thousand ninety yen.,289,"(290) [T] Ninety yen.
(291) [T] Okay.
(291) [T] That's what it's about.
(292) [T] So that means if you buy three 230-yen cakes and seven 200-yen cakes,
(293) [T] then it becomes 2,090 yen.
(293) [T] You get 10 yen in change.
(294) [T] That's why you could buy three of these.",0,1
"(318) [S] So when I started the paper, if I wrote that.
(319) [T] Yes.
(320) [S] Okay.
(321) [T] Okay!
(322) [S] Somebody's template is on my desk.
(323) [T] Who?
(324) [S] Somebody's.",I don't know.,324,"(325) [T] Okay.
(325) [T] Who is missing a template?
(325) [T] It was on John's desk.
(326) [S] Mine is in my bag.
(327) [S] Well, mine's broken and you haven't gotten me a new one.
(328) [T] I didn't get you a new one?
(329) [S] Mm-mm .",0,0
"(130) [T] Now, we've narrowed it down to two spots, so let's do clue three.
(130) [T] Your friend is six blocks from the gas station.
(130) [T] Where is your friend?
(131) [T] All right, Bethany.
(131) [T] Where is the friend?
(132) [S] Pizzaria.
(133) [T] Pizzaria.",Pizzaria mama mia.,134,"(135) [T] All right, hidden treasure.
(135) [T] You might have played this before, or you might not.
(135) [T] We're going to go through the instructions to make sure we all have a good understanding of how to play, so if you just close your journals and put your pencils on top of your journals.
(135) [T] All right let me just .
(136) [T] Okay.
(136) [T] Obviously, hidden treasure- Raquel  for me.
(136) [T] Hidden treasure is a coordinate practice.",0,1
"(332) [T] Okay?
(333) [T] Okay.
(333) [T] Another example.
(333) [T] You're going to an Eagles game.
(334) [S] Oh.
(335) [T] Tim?
(335) [T] I used Phillies in my other classes but for you Tim, I used Eagles.",First the Raiders.,336,"(337) [T] Okay?
(337) [T] You're going to an Eagles game.
(337) [T] They're selling hot dogs.
(337) [T] They're very good by the way in Philadelphia.
(338) [S] So are the cheese steaks.
(339) [T] So are the cheese steaks, you're right.
(340) [T] Okay.",0,0
"(15) [T] So eight plus nine is 17, eight plus eight is 16, plus one more is 17.
(15) [T] Okay.
(15) [T] Now I need to add in... That takes care of this one and this one.
(15) [T] Now I need to add in 163.
(15) [T] So when I add all three of those together, I get 340.
(15) [T] Did anybody match with me?
(15) [T] Nobody got 340 when they added them on up?",I know I did.,16,"(17) [T] Oh, okay.
(17) [T] There we go.
(17) [T] Now, what's my next step.
(17) [T] I added up 340.
(17) [T] I added up all the stories that he's planning to climb.
(17) [T] Miguel, what am I going to do next?
(18) [S] You have to add a number that makes 400.",0,0
"(127) [T] Go ahead Jeff, show me what…
(128) [S] She, she has 8 blocks with still only 2 colors
(129) [T] Eight blocks with 2 colors.
(129) [T] Okay, what, let's see this.
(130) [S] She has like this: red and she kept on alternating.
(130) [S] Blue-red- blue-red and she blue-red until she got 8.
(130) [S] And then, blue.",And then she did the same thing up here.,130.0,"(131) [S] I didn't do the same thing on top.
(132) [S] Yeah, you kept on alternating.
(133) [T] Why don't you do that?
(133) [T] See what happens.
(133) [T] It's what he  thought he saw you do, but, that's interesting, maybe you  didn't know you were doing that, Michelle.
(133) [T] But look, blue- red-blue-red-blue-red-blue-red.
(133) [T] He saw you alternating them  on the bottom.",1,1
"(69) [S] Yes.
(70) [T] Thank you.
(70) [T] Any questions about our learning session?
(70) [T] We did area models, but now we're going to be using that to understand and apply for fraction and multiplication.
(70) [T] Success criteria.
(70) [T] Ellie, will you read that for us please?
(71) [S] I know I can manage to do it when I successful used the algorithm to multiply the fraction in problem two through seven, page 179.",Also I can explain how the area models of one of my answers was correct.,71,"(72) [T] That is going to be part of your exit slip.
(72) [T] You're going to explain how you use an algorithm to multiply the fractions in problem seven.
(72) [T] Here's some words that you can use to multiply the fractions blank and blank.
(72) [T] I first did this then I blank.
(72) [T] Finally, I did this other thing.
(72) [T] Let's go to our math message.
(73) [T] In your journals, just in your notebooks, your titles, work with a partner to draw an area model for (3/4) * (2/3).",0,0
"(65) [T] Okay.
(65) [T] Turn to your  partner.
(65) [T] Knee-to-knee
(66) [S] For the first one
(67) [S] I got the answers
(68) [S] Well, the common denominator
(69) [S] 1 x 3 = 3.",2 x 3.,69,"(70) [S] 1 in 6.
(71) [T] Okay, 1, 2 3, show me your work.
(71) [T] If you don't have much written in your board, you're writing what I write.
(71) [T] Okay, what's the common denominator for number 1?
(71) [T] What's the common denominator for number 1?
(71) [T] ?
(72) [S] 12",1,0
"(16) [T] Can you repeat again, nice and loud, what you said?
(16) [T] I think you're so on target.
(17) [S] multiply the .
(18) [T] Okay.
(18) [T] Who wants to add on to that?
(18) [T] Sebastian?
(19) [S] When you target the area and the  the area and basically divide.","Then if there's a zero on that area, you act on the  just like yesterday but it involves a shape.",19,"(19) [S] It's basically a division problem from yesterday but just with the rectangle.
(20) [T] Excellent.
(20) [T] Who remembers what I said about division?
(20) [T] What do you always start with?
(20) [T] What do you start with, Everett?
(20) [T] The bigger number, the total.
(20) [T] You're starting with the area which is the total, and so that means you have to divide to get the other side.",1,1
"(71) [T] so we'll write that here.
(71) [T] These are congruent by side side side.
(71) [T] Right?
(71) [T] And then let's see if we can write out a triangle here.
(71) [T] Anybody in here have a suggestion?
(71) [T] What What should we start with our first one?
(71) [T] But what like just all three?",LOM,72,"(73) [T] LOM.
(73) [T] Okay.
(73) [T] LOM is congruent to.
(73) [T] Okay, so let's see if we can match it up.
(73) [T] L O M. What's gonna be our first letter for The other one?
(73) [T] N. okay, l matches up with n. Okay, L matches up N. Right.
(73) [T] O matches up with what?",1,0
"(465) [T] Make sure it's the same.
(466) [S] T?
(467) [T] Okay, now you guys are going to double the first number of the ordered pair.
(468) [S] Together?
(469) [T] Halve the second number.
(469) [T] Halve the second number, so circle that one right there.
(469) [T] Turn the page, and you're doing that one.",Triple the second number.,470,"(471) [T] No, double.
(472) [S] Oh, double the first number.
(472) [S] Then you halve the second number.
(473) [S] Do you want us to work together?
(474) [T] No, I want you to work separately because then you're going to have to check your work.
(474) [T] Okay?
(475) [S] So you triple the first one, and then you split the second one in half.",1,0
"(nan) [S] I know why it doesn’t work? 
(nan) [S] I think it’s because there’s two prime numbers instead of.
(nan) [S] Because Milin’s calculator ran out of batteries.
(nan) [S] You didn’t know what you are talking about.
(nan) [S] Yes I did.
(nan) [S] So why didn’t you tell?
(nan) [S] So why didn’t you explain it to us?",Because everybody was yelling in my ear.,,"(nan) [S] Well, you could have got up and said okay here is why it doesn’t work.
(nan) [T] Okay. 
(nan) [T] Okay. 
(nan) [T] Can I make a suggestion? 
(nan) [T] I’d like to leave this question for another time.
(nan) [S] No.
(nan) [S] Oh, don’t leave us please.",0,1
"(29) [T] Friends, stand up if you are number four at your team.
(29) [S] I'm standing.
(30) [T] We're going team five this time.
(30) [T] Stay standing if you're at team five.
(30) [T] Is that Collin?
(31) [T] Yes, it's Collin.
(32) [T] Are you ready?",Yes.,33,"(34) [T] Thank you, friend.
(34) [T] All right.
(34) [T] What's the problem that he's explaining, friends?
(34) [T] We read it.
(34) [T] Ready?
(34) [T] Go.
(35) [S] One-fourth of five.",0,0
"(35) [T] What part did he get right?
(36) [S] The three times three.
(37) [T] The three times three.
(38) [S] Yes, but after that you had to do three times four because whatever you do to the top you have to do to the bottom.
(38) [S] And three times four is twelve.
(38) [S] So it would be nine over twelve.
(39) [T] Do we agree with that or disagree?",Agree.,40,"(41) [T] We agree with that.
(41) [T] Okay so, nice job John.
(41) [T] Michael you had it right.
(41) [T] Adam, its not just about solving the problem, if you can not explain your mathematical thinking, that understanding of that concept is not there.
(41) [T] Okay?
(41) [T] All right, so we say it is greater than, I agree that.
(41) [T] Okay, Gage can you explain the next one.",0,1
"(176) [T] So those are the problems you're  working on, I just want to be sure you know all know the  problems you're working on now.
(177) [S] Ok, now we have eighty-one, that's just extra.
(179) [S] Nine, you got nine, right?
(180) [S] We got nine.
(181) [S] So did I.
(182) [S] Let's get some paper to write this down on.
(183) [S] I like your sweatshirt.","[Jackie and Jessica are talking] Guys, this is math, you're  on camera.",184,"(184) [S] You're on camera and you're like oh nice  sweatshirt.
(185) [S] You can do that out at the playground
(186) [S] Guys are you on the first one?
(187) [S] ...
(187) [S] Seven times three, and you get the twenty-one.
(187) [S] You add  the sixty and the twenty-one and you get the eighty-one.
(187) [S] Now you get it?",0,0
"(nan) [S] And you get one-sixteenth.   
(nan) [S] That's why it’s – that’s for one team winning. 
(nan) [S] That's for one team winning.
(nan) [S] And then for two teams winning - it's two-sixteenths, or one-eighth.
(nan) [T] Could I ask a simple-minded question? 
(nan) [S] mhmm
(nan) [T] Why did you multiply",We did this in math,,"(nan) [S] Because...
(nan) [T] I'm sorry, but I really want to know.
(nan) [S] Because adding - it wouldn't work.  
(nan) [S] Because you'd have a half plus a half - you'd get two.
(nan) [S] And what would that prove? 
(nan) [T] So you've eliminated adding.
(nan) [S] Eliminated adding.",1,0
"(194) [T] I couldn't remember.
(194) [T] There you go.
(195) [T] Mr. Julian.
(195) [T] You ready to talk to me?
(196) [S] Yes.
(197) [T] Okay.
(197) [T] Mr. Julian, what are my coordinates first, for the school?","Zero, zero.",198,"(199) [T] And to the pool.
(200) [S] that is two, 12
(201) [T] Two, 12.
(201) [T] Very good.
(201) [T] Good catch on that, buddy.
(201) [T] Okay.
(201) [T] How many blocks?",0,0
"(344) [S] Well, if you train the rod, but that would make it not equal.
(345) [S] It would probably be-
(346) [S] Up there, it's just plain, except for the whole.
(347) [S] It would probably be three browns would be the thirds and  three dark greens would be the fourths.
(348) [S] Right, but that would be using more than one rod to make  another rod to fit, fit the same thing.
(349) [S] Yeah, so you can do that!
(349) [S] Just like, you, Andrew said, you  can use a train to make a third and a fourth.","Cuz he, like, I, I  overheard, they said that if you can use a train to make a  whole why can't you use it to make a third and a fourth?",349,"(350) [S] Yeah.
(351) [T] David?
(352) [S] And a half
(353) [S] But then it wouldn't be equal.
(354) [S] Yeah they would!
(354) [S] Cuz the third could be, like in that  model, Andrew used the two browns, that's equal!
(355) [S] But in that model, the three browns don't have anything  attached on so it's totally equal",0,1
"(50) [T] Oh wait, you're not done, sorry, you guys, we're on page 169, one and two, you're doing exactly what's on this board right now.
(50) [T] I'm going to give you a clue, you should have whole numbers in these boxes, they should not be fractions.
(50) [T] I don't know, what do you think?
(50) [T] Talk to Micha, go to get a journal out here.
(51) [T] From two those, yes, one and two.
(52) [T] just a second, did you guys talk about it?
(52) [T] [crosstalk] no, Spencer, tell me we're doing the exact same thing we did yesterday.","Oh, okay.",52,"(53) [T] It's the-
(54) [S] If that wasn't the right number, then that would be difficult.
(54) [S] It's six plus five is eleven, and then you're minusing the five and then you get six.
(54) [S] Oh my God.
(54) [S] I know what this is going to be.
(54) [S] So, for number one I got three, four, seven, two.
(55) [S] For number two, I got three, four, seven, two.",0,0
"(136) [T] Renada?
(137) [S] Seven.
(138) [T] Seven?
(139) [S] 7/6.
(140) [T] Is that figure then a whole?
(141) [S] Yes.
(142) [T] Actually, can Queen Ann split her land that way?",No.,143,"(144) [T] We have proved it two ways; with our diagram and with our fractions.
(144) [T] Now, you're going back to the second question.
(144) [T] Now, that we've all figured out ways to prove our thinking, you're going back to the second question.
(144) [T] Queen Arlene decides to keep half of her land and half her three daughters divide the other half.
(144) [T] She still wants her oldest daughter to get more land than the two sisters, think of a way to use fractions to divide the land?
(144) [T] If you need, use your fractions circles, you are welcome to.
(144) [T] Right now, what we're looking at, this is what Queen Ann wants to keep for herself.",0,1
"(nan) [S] Because it could be an “I” or an “h.”
(nan) [T] OK.
(nan) [S] Oh, that’s another “i.” 
(nan) [S] You make an “I” over there, and you got an exclamation point.
(nan) [T] OK. 
(nan) [T] Well, there was a lot of interesting things discussed. 
(nan) [T] Did you like the problem?",Yes.,,"(nan) [S] We’re gonna market the game.
(nan) [T] I’m interested‐you’re gonna market the game. 
(nan) [T] That’s a great idea. 
(nan) [T] We have to, um, thank Teacher 2 for making that, again. 
(nan) [T] My, my question is that, did you change your mind about what you originally thought?
(nan) [S] Yes.
(nan) [T] Yes by show of hands. ",0,0
"(144) [S] And then you get your answer eighty-one.
(145) [S] It's just, you're just adding it faster.
(146) [T] I don't know why that works, that adding faster.
(146) [T] See, Alan  added faster and it didn't work.
(146) [T] Does it always work?
(147) [S] No.
(148) [T] Doesn't always work.",But it does sometimes.,149,"(150) [T] But Alan's was different.
(151) [S] Yeah.
(152) [T] I'm kind of curious about that.
(152) [T] See if you can come up with  a rule that works all the time.
(152) [T] You know what it means,  right?
(153) [S] Yeah.
(154) [T] Something to think about, right?",0,1
"(151) [S] Erik We want thirds and fourths, not tens.
(152) [T] I wonder if Meredith and David made any progress.
(152) [T] Meredith and  David 
(153) [S] Thirds.
(153) [S] Erik, there's one prob.
(153) [S] Using oranges, you can't third.
(153) [S] You  can't third, look, even if you subtracted two you couldn't third that.","Because orange is twelve, there's five.",153,"(154) [S] Oranges are tens!
(155) [S] I know, tens, you can make it into fourths but you couldn't third it.
(156) [S] Wait you gave me, oh no.
(157) [S] You just gave up    Erik Yup.
(157) [S] Alan Hold on a sec, look, look, you take that off, you could use that
(158) [S] That's way too big, Andrew, I don't think you can divide it into  anything
(159) [S] Yeah, if you make two browns, two blues are thirds.",1,1
"(549) [T] Hey, how come we didn't use your table?
(550) [S] I don't know.
(550) [S] We were looking at his.
(551) [S] Okay.
(551) [S] So if we start at 10, then-
(552) [T] Oh, I know- Look what you did wrong.
(552) [T] You copied the equation down wrong.",That's number four.,553,"(554) [T] Oh, I'm sorry.
(554) [T] You're right.
(554) [T] My mistake.
(555) [S] Oh yeah, it does start at six.
(556) [T] I can't even read your writing.
(556) [T] Yeah, why is that a six?
(556) [T] That should be a negative 10, right?",0,0
"(98) [T] Following me?
(99) [T] Yes?
(99) [T] Okay.
(100) [T] Using drawings, words and equations to represent the problem, Yasmine made two batches of lip balm, how many teaspoons of almond oil did she use?
(100) [T] Let's go back, we're going to need to go back to look at this.
(100) [T] How many teaspoons of almond oil does it take?
(100) [T] Three teaspoons, for what?",Batch.,101,"(102) [T] For one batch.
(102) [T] How many batches is she making?
(103) [T] How many batches is she making?
(104) [S] Two.
(105) [S] Two.
(106) [T] Two.
(106) [T] If three teaspoons equals one batch, we want to know what two batches would make, right?",0,0
"(nan) [S] He‐ha… 
(nan) [S] What’s that number right there?
(nan) [S] Ten?
(nan) [S] Ten. 
(nan) [S] What was that, me? 
(nan) [S] That’s you.
(nan) [S] Oh my god.",Six is me.,,"(nan) [S] Ha, we don’t have a six.
(nan) [S] Eleven ‘s me. 
(nan) [S] We lost the six for a minute.
(nan) [T] I have a question, I just noticed something.
(nan) [S] Yeah.
(nan) [T] I just noticed that, uh, when Jeff was rolling his dice‐
(nan) [S] Yeah.",0,1
"(nan) [S] No seven is two.
(nan) [T] Have you got numbers for this?
(nan) [S] Is that number seven?
(nan) [S] Yeah.
(nan) [T] Uh, that is number seven.
(nan) [S] Two.
(nan) [T] Hum, anybody check two on this one?",Two.,,"(nan) [S] Yeah, two.
(nan) [T] Does it work? 
(nan) [T] Two. 
(nan) [T] Yeah and it works. 
(nan) [T] Hum, well okay.
(nan) [S] Can we do some more stuff with the glass pieces. 
(nan) [S] I like how Stephanie she had such an important job.",0,1
"(53) [T] True, isn’t it?
(53) [T] Okay, so how about two?
(53) [T] Do I put the two  here or here.
(54) [S] No three wouldn’t work.
(55) [S] In the brackets.
(57) [T] Or here   It goes in
(58) [T] It goes in the truth set that makes it true.",Let’s try three now.,59,"(60) [S] Three.
(61) [T] Now various people are saying three
(62) [S] Three is not going to work.
(63) [T] You say three, you say three [inaudible], it works.
(64) [S] It is.
(64) [S] It works.
(65) [S] Three is going to work.",1,1
